iter	Passed	Remaining
0	0	82
1	1	80
2	2	80
3	3	74
4	3	74
5	4	75
6	5	73
7	6	73
8	7	73
9	8	73
10	8	72
11	9	71
12	10	70
13	11	70
14	12	70
15	13	69
16	14	69
17	15	68
18	15	67
19	16	67
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	61
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
